skill_id,skill_name,category,curriculum_hours,curriculum_coverage_score,num_job_postings,industry_demand_score,avg_salary_premium_pct,event_timestamp
45,Leadership,Soft Skills,18,61.33,273,22.13,2.1,2026-05-16 06:13:14.937736
46,Adaptability,Soft Skills,31,43.42,1015,45.32,10.06,2026-07-11 06:13:14.937795
47,Critical Thinking,Soft Skills,22,51.93,667,81.43,17.21,2026-06-08 06:13:14.937815
48,Presentation Skills,Soft Skills,40,44.04,280,46.68,19.16,2026-05-16 06:13:14.937835
49,Conflict Resolution,Soft Skills,30,64.0,479,20.69,3.49,2026-06-06 06:13:14.937854
50,Agile Collaboration,Soft Skills,26,50.13,731,94.62,23.99,2026-08-10 06:13:14.937874
51,Generative AI,Emerging Tech,11,17.22,1013,67.44,19.86,2026-07-12 06:13:14.937892
52,LLM Fine-tuning,Emerging Tech,21,47.0,231,57.88,16.82,2026-07-12 06:13:14.937911
53,Prompt Engineering,Emerging Tech,2,23.87,499,50.21,10.88,2026-07-10 06:13:14.937930
54,Blockchain,Emerging Tech,5,33.45,397,81.77,16.52,2026-07-11 06:13:14.937949
55,IoT,Emerging Tech,6,2.0,459,78.57,21.44,2026-07-09 06:13:14.937969
56,Edge Computing,Emerging Tech,6,23.28,542,34.97,3.86,2026-07-21 06:13:14.937986
57,AR/VR,Emerging Tech,8,31.07,911,44.44,7.66,2026-07-15 06:13:14.938003
58,Quantum Computing Basics,Emerging Tech,13,15.18,952,52.68,16.97,2026-06-16 06:13:14.938020
59,Robotics,Emerging Tech,9,13.13,669,88.35,18.67,2026-06-06 06:13:14.938038
60,Web3,Emerging Tech,6,2.0,416,76.21,22.22,2026-07-22 06:13:14.938055
