skill_id,skill_name,high_priority_gap,event_timestamp,curriculum_hours,curriculum_coverage_score,industry_demand_score,num_job_postings,avg_salary_premium_pct,curriculum_coverage_norm,industry_demand_norm,demand_supply_gap,gap_score,job_postings_log,category
52,LLM Fine-tuning,0,2026-07-12 06:13:14.937911+00:00,21,47.0,57.88,231,16.82,0.47,0.5788,0.10880000000000001,10.88,5.4467,Emerging Tech
57,AR/VR,0,2026-07-15 06:13:14.938003+00:00,8,31.07,44.44,911,7.66,0.3107,0.44439999999999996,0.13369999999999999,13.37,6.8156,Emerging Tech
18,Computer Vision,0,2026-07-18 06:13:14.937097+00:00,18,46.46,60.17,1082,13.73,0.4646,0.6017,0.1371,13.71,6.9875,Data Science
9,Shell Scripting,0,2026-07-21 06:13:14.936901+00:00,22,82.83,92.18,856,24.1,0.8283,0.9218000000000001,0.09350000000000003,9.35,6.7534,Programming
56,Edge Computing,0,2026-07-21 06:13:14.937986+00:00,6,23.28,34.97,542,3.86,0.2328,0.3497,0.1169,11.69,6.2971,Emerging Tech
60,Web3,1,2026-07-22 06:13:14.938055+00:00,6,2.0,76.21,416,22.22,0.02,0.7620999999999999,0.7420999999999999,74.21,6.0331,Emerging Tech
34,Cloud Security,0,2026-07-24 06:13:14.937547+00:00,4,24.83,63.03,883,19.25,0.2483,0.6303,0.382,38.2,6.7845,Cybersecurity
25,Kubernetes,0,2026-07-26 06:13:14.937328+00:00,9,43.85,87.23,1326,21.84,0.4385,0.8723000000000001,0.4338000000000001,43.38,7.1907,Cloud & DevOps
28,Linux Administration,0,2026-07-26 06:13:14.937402+00:00,24,30.94,72.94,1025,18.96,0.3094,0.7293999999999999,0.41999999999999993,42.0,6.9334,Cloud & DevOps
24,Docker,0,2026-07-29 06:13:14.937303+00:00,19,51.04,83.22,549,29.57,0.5104,0.8321999999999999,0.3218,32.18,6.3099,Cloud & DevOps
10,Rust,0,2026-07-30 06:13:14.936920+00:00,42,44.8,39.17,439,10.33,0.44799999999999995,0.3917,-0.05629999999999996,-5.63,6.0868,Programming
15,Pandas/NumPy,0,2026-07-30 06:13:14.937025+00:00,21,43.3,55.65,1498,10.78,0.433,0.5565,0.1235,12.35,7.3126,Data Science
8,R,0,2026-07-31 06:13:14.936881+00:00,38,69.84,24.5,311,1.95,0.6984,0.245,-0.4534,-45.34,5.743,Programming
43,Problem Solving,0,2026-08-06 06:13:14.937702+00:00,10,60.36,51.12,496,9.21,0.6036,0.5112,-0.09240000000000004,-9.24,6.2086,Soft Skills
7,TypeScript,0,2026-08-08 06:13:14.936862+00:00,25,64.92,60.45,602,10.05,0.6492,0.6045,-0.04469999999999996,-4.47,6.4019,Programming
50,Agile Collaboration,1,2026-08-10 06:13:14.937874+00:00,26,50.13,94.62,731,23.99,0.5013000000000001,0.9462,0.44489999999999996,44.49,6.5958,Soft Skills
13,Data Visualization,0,2026-08-13 06:13:14.936978+00:00,26,65.34,84.05,821,22.46,0.6534,0.8405,0.18710000000000004,18.71,6.7117,Data Science
